페이지,공종,종별,종별_상세1,시험종목_1,시험종목_2,시험종목_3,시험방법,시험빈도,비고
2,토공사 및 기초공사,"말
뚝","프리텐션 방식
진동PC말뚝
(KS F 4307)",겉모양 및 모양,,,KS F 4307,"·제조회사마다
·200개마다",
2,토공사 및 기초공사,"말
뚝",,치수,,,,"·제조회사마다
·200개마다",
2,토공사 및 기초공사,"말
뚝",,몸체 및 이음부의 휨강도,,,,"·제조회사마다
·200개마다",
2,토공사 및 기초공사,"말
뚝",,PC강재 및 철근 배치,,,,"·제조회사마다
·200개마다",
2,토공사 및 기초공사,"말
뚝","강관말뚝
(KS F 4602)",화학성분,,,KS F 4602,"·제조회사마다
·200개마다",
2,토공사 및 기초공사,"말
뚝",,"모양,치수,질량",,,,"·제조회사마다
·200개마다",
3,토공사 및 기초공사,,,인장시험,,,KS B 0802,,
3,토공사 및 기초공사,,,편평시험,,,KS F 4602,,
3,토공사 및 기초공사,,,용접부의 비파괴검사,,,"KS B 0845
또는
KS B 0817",·10이음당 1회,
3,토공사 및 기초공사,,"H형강 말뚝
(KS F 4603)",화학성분,,,KS F 4603,"·제조회사마다
·200개마다",
3,토공사 및 기초공사,,,탄소당량,,,,"·제조회사마다
·200개마다",
3,토공사 및 기초공사,,,"항복점 또는 항복강도,
인장강도 및 연신율",,,KS B 0802,"·제조회사마다
·200개마다",
3,토공사 및 기초공사,,,샤르피 흡수에너지,,,KS B 0810,"·제조회사마다
·200개마다",
3,토공사 및 기초공사,,,"모양,치수,질량",,,KS F 4603,"·제조회사마다
·200개마다",
3,토공사 및 기초공사,,"열간 압연강
널말뚝
(KS F 4604)",화학성분,,,KS F 4604,"·제조회사마다
·1,000개 마다",
3,토공사 및 기초공사,,,"항복점 또는 내력,인장
강도 및 연신율",,,KS B 0802,"·제조회사마다
·1,000개 마다",
3,토공사 및 기초공사,,,"이음인장강도(직선형 강
널말뚝)",,,,"·제조회사마다
·1,000개 마다",
3,토공사 및 기초공사,,,"모양,치수, 단위질량",,,KS F 4604,"·제조회사마다
·1,000개 마다",
3,토공사 및 기초공사,"샌드매트 및
샌드드레인용 모래",,투수계수,,,KS F 2322,"·골재원마다
·1,000세제곱미터마다","D15, D85는 입
경가적곡선에서
통과백분율이
15%, 85%에 해
당되는 입경을
말함."
3,토공사 및 기초공사,"샌드매트 및
샌드드레인용 모래",,0.08밀리미터 통과량,,,KS F 2502,"·골재원마다
·1,000세제곱미터마다",
3,토공사 및 기초공사,"샌드매트 및
샌드드레인용 모래",,D15,,,KS F 2502,"·골재원마다
·1,000세제곱미터마다",
3,토공사 및 기초공사,"샌드매트 및
샌드드레인용 모래",,D85,,,KS F 2502,"·골재원마다
·1,000세제곱미터마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,겉모양,,,KS F 2579,"· 제조회사별
· 케이슨 1개마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,"발색판정
(고로슬래그 사용시)",,,KS F 2535,"· 제조회사별
· 케이슨 1개마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,"수침팽창비
(제강슬래그 사용시)",,,KS F 2580,"· 제조회사별
· 케이슨 1개마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,입도,,,KS F 2502,"· 제조회사별
· 케이슨 1개마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,표건밀도,,,KS F 2503,"· 제조회사별
· 케이슨 1개마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,단위용적질량,,,KS F 2505,"· 제조회사별
· 케이슨 1개마다",
3,토공사 및 기초공사,"케이슨
채움재용 철강슬래그
(KS F 2579)",,수중단위용적질량,,,,"· 제조회사별
· 케이슨 1개마다",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,절대 건조 밀도 및 흡수율,,,"KS F 2503, 2504","·골재원마다
·1,000세제곱미터마다","순환골재
포함"
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,"입도, 조립률",,,"KS F 2502,2527","·골재원마다
·1,000세제곱미터마다",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,0.08밀리미터 체 통과량,,,KS F 2511,"·골재원마다
·1,000세제곱미터마다",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,입자모양판정 실적률,,,KS F 2505,"·골재원마다
·1,000세제곱미터마다",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,굵은 골재의 마모율,,,KS F 2508,"·골재원마다
·1,000세제곱미터마다",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,알칼리 골재 반응,,,"KS F 2545 또는
KS F 2546","·골재원마다
·6개월 1회 이상",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,석탄 및 갈탄 함유량,,,KS F 2513,"·골재원마다
·1년 1회 이상",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,안정성,,,KS F 2507,"·골재원마다
·1년 1회 이상",
3,철근콘크리트공사,"콘크리트용
골재
(KS F 2527)",,염화물 함유량,,,KS F 2515,"·공급회사별
·1일 3회이상",바다모래인
4,철근콘크리트공사,,,,,,,,경우
4,철근콘크리트공사,,,잔골재의 표면수량,,,KS F 2509,·1일 1회이상,
4,철근콘크리트공사,"콘크리트용
순환골재
(KS F 2573)",,,,,,·1일 1회이상,
4,철근콘크리트공사,"콘크리트용
순환골재
(KS F 2573)",,<삭 제>,,,,·1일 1회이상,
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,위치교정도,,,KS L 1592,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,개방시간,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,압축강도,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,흡수율,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,전단접착강도,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,길이변화율,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,보수율,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"도자기질
타일시멘트
(KS L 1592)",,"실내공기 오염물질 방출량
(총휘발성유기화합물,
톨루엔, 폼알데하이드)",,,"KS M 1998 또는
실내공기질 공정시험
기준 (환경부고시)",·필요시,"실내에 시공되는
타일 시멘트
2종에 한함."
4,철근콘크리트공사,"포틀랜드
시멘트
(KS L 5201)",,화학성분,,,KS L 5120,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때","수화열의 경우
1,3,5종은
제외"
4,철근콘크리트공사,"포틀랜드
시멘트
(KS L 5201)",,분말도,,,KS L 5106,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"포틀랜드
시멘트
(KS L 5201)",,안정도,,,KS L 5107,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"포틀랜드
시멘트
(KS L 5201)",,응결 시간,,,KS L 5108,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"포틀랜드
시멘트
(KS L 5201)",,압축강도,,,KS L 5105,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"포틀랜드
시멘트
(KS L 5201)",,수화열,,,KS L 5121,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"백색
포틀랜드
시멘트
(KS L 5204)",,화학분석,,,KS L 5120,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"백색
포틀랜드
시멘트
(KS L 5204)",,분말도,,,KS L 5106,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"백색
포틀랜드
시멘트
(KS L 5204)",,안정도,,,KS L 5107,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"백색
포틀랜드
시멘트
(KS L 5204)",,응결시간,,,KS L 5108,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"백색
포틀랜드
시멘트
(KS L 5204)",,압축강도,,,KS L ISO 679,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"백색
포틀랜드
시멘트
(KS L 5204)",,백색도,,,KS L 5113,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"고로 슬래그
시멘트
(KS L 5210)",,화학 분석,,,KS L 5120,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"고로 슬래그
시멘트
(KS L 5210)",,분말도,,,KS L 5106,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"고로 슬래그
시멘트
(KS L 5210)",,안정도,,,KS L 5107,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"고로 슬래그
시멘트
(KS L 5210)",,응결시간,,,KS L 5108,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"고로 슬래그
시멘트
(KS L 5210)",,압축강도,,,KS L ISO 679,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,분말도,,,KS L 5112,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,안정도,,,KS L 5107,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,응결시간,,,KS L ISO 9597,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,압축강도,,,KS L 5219,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,모르타르 공기량,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,보수성,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,"메이슨리
시멘트
(KS L 5219)",,오염,,,,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
4,철근콘크리트공사,플라이애시,,비표면적,,,KS L 5106,·제조회사별,
5,철근콘크리트공사,"시멘트
(KS L 5211)",,응결,,,KS L ISO 9597,"·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"시멘트
(KS L 5211)",,안정도,,,"KS L 5107또는
KS L ISO 9597","·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"시멘트
(KS L 5211)",,압축 강도,,,KS L ISO 679,"·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"시멘트
(KS L 5211)",,화학성분,,,KS L 5120,"·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"포틀랜드
포졸란
시멘트
(KS L 5401)",,화학분석,,,KS L 5120,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"포틀랜드
포졸란
시멘트
(KS L 5401)",,비표면적,,,KS L 5106,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"포틀랜드
포졸란
시멘트
(KS L 5401)",,안정도,,,KS L 5107,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"포틀랜드
포졸란
시멘트
(KS L 5401)",,응결시간,,,KS L 5108,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"포틀랜드
포졸란
시멘트
(KS L 5401)",,압축강도,,,KS L ISO 679,"·제조회사별
·300톤마다
·제조일부터 3월이 되어
재질의 변화가 있다고
인정되는 때",
5,철근콘크리트공사,"물
(수질검사)",,현탁 물질의 양,,,"KS F 4009
부속서 A,B","·음용수가 아닌 경우
·취수원이 달라질 때마다
·수질변화시","상수돗물
이외의 물"
5,철근콘크리트공사,"물
(수질검사)",,용해성 증발 잔류물의 양,,,,"·음용수가 아닌 경우
·취수원이 달라질 때마다
·수질변화시",
5,철근콘크리트공사,"물
(수질검사)",,염소이온량,,,,"·음용수가 아닌 경우
·취수원이 달라질 때마다
·수질변화시",
5,철근콘크리트공사,"물
(수질검사)",,시멘트 응결시간의 차,,,,"·음용수가 아닌 경우
·취수원이 달라질 때마다
·수질변화시",
5,철근콘크리트공사,"물
(수질검사)",,모르타르의 압축강도비,,,,"·음용수가 아닌 경우
·취수원이 달라질 때마다
·수질변화시",
5,철근콘크리트공사,"물
(수질검사)",,염소이온량,,,,"·음용수가 아닌 경우
·취수원이 달라질 때마다
·수질변화시",회수수
5,철근콘크리트공사,"물
(수질검사)",,슬러지수의 농도,,,,· 생산개시전 일 1회 이상,
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,감수율,,,KS F 2560,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다","동결융해시험
및 길이 변화
시험은 필요시"
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,블리딩양의 비,,,KS F 2414,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,응결시간의 차,,,KS F 2560,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,압축강도의 비,,,KS F 2405,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,길이변화비,,,KS F 2424,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,동결융해에 대한 저항성,,,KS F 2456,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,경시변화량,,,KS F 2560,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,전체 알칼리량,,,"KS I 3206 또는
KS F 2560","·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
화학혼화제
(KS F 2560)",,적외선 흡수스펙트럼,,,KS M 0024,"·제조회사별
·제품규격별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"철근콘크리트
용 방청제
(KS F 2561)",,부식상황,,,KS F 2561,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"철근콘크리트
용 방청제
(KS F 2561)",,방청률,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"철근콘크리트
용 방청제
(KS F 2561)",,콘크리트의 응결시간차,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"철근콘크리트
용 방청제
(KS F 2561)",,콘크리트의 압축강도비,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트
양생용
액상피막
형성제
(KS F 2540)",,피막의 성질,,,KS F 2540,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트
양생용
액상피막
형성제
(KS F 2540)",,컨시스턴시,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트
양생용
액상피막
형성제
(KS F 2540)",,저장안정도,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트
양생용
액상피막
형성제
(KS F 2540)",,건조시간,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트
양생용
액상피막
형성제
(KS F 2540)",,습기유지,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
팽창재
(KS F 2562)",,"산화마그네슘, 강열감량",,,KS L 5120,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
팽창재
(KS F 2562)",,비표면적,,,KS L 5207,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
팽창재
(KS F 2562)",,1.2밀리미터체 잔류율,,,KS F 2562,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
팽창재
(KS F 2562)",,응결,,,KS L 5207,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
팽창재
(KS F 2562)",,팽창성(길이변화율),,,KS F 2562,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트용
팽창재
(KS F 2562)",,압축강도,,,KS F 2562,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
5,철근콘크리트공사,"콘크리트
혼입용
방수재",,응결 시간 차,,,KS F 4926,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는",
5,철근콘크리트공사,"콘크리트
혼입용
방수재",,경시변화에 따른 공기량변화,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는",
5,철근콘크리트공사,"콘크리트
혼입용
방수재",,길이 변화율,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는",
6,철근콘크리트공사,(KS F 4926),,동결 융해에 대한 저항성,,,,때마다,
6,철근콘크리트공사,(KS F 4926),,탄산화 깊이비,,,,때마다,
6,철근콘크리트공사,(KS F 4926),,압축 강도비,,,,때마다,
6,철근콘크리트공사,(KS F 4926),,물흡수 계수비,,,,때마다,
6,철근콘크리트공사,(KS F 4926),,투수비,,,,때마다,
6,철근콘크리트공사,(KS F 4926),,염소이온 침투깊이,,,,때마다,
6,철근콘크리트공사,"숏크리트용
급결제
(KS F 2782)",,압축강도,,,KS F 2782,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
6,철근콘크리트공사,"숏크리트용
급결제
(KS F 2782)",,응결시간,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
6,철근콘크리트공사,"콘크리트용
강섬유
(KS F 2564)",,"치수(형상비, 허용오차)",,,KS F 2564,"·제조회사별
·제품규격별",
6,철근콘크리트공사,"콘크리트용
강섬유
(KS F 2564)",,겉모양,,,,"·제조회사별
·제품규격별",
6,철근콘크리트공사,"콘크리트용
강섬유
(KS F 2564)",,인장강도,,,KS F 2565,"·제조회사별
·제품규격별",
6,철근콘크리트공사,"콘크리트용
강섬유
(KS F 2564)",,분산성,,,KS F 2564,"·제조회사별
·제품규격별",
6,철근콘크리트공사,"콘크리트용
강섬유
(KS F 2564)",,굽힘정도,,,,"·제조회사별
·제품규격별",
6,철근콘크리트공사,"플라이 애시
(KS L 5405)",,이산화규소,,,KS L 5405,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
6,철근콘크리트공사,"플라이 애시
(KS L 5405)",,수분,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
6,철근콘크리트공사,"플라이 애시
(KS L 5405)",,강열 감량,,,,"·제조회사별
·3개월이상 저장하여 재질의
변화가 있다고 인정되는
때마다",
